explained_class,feature,mean_abs_shap,correlation_cluster,cluster_mean_abs_shap,maximum_absolute_spearman_with_other_feature,features_at_or_above_threshold,bridge_role,cluster_method,absolute_spearman_threshold,analysis_protocol_hash
A,(La/Yb)N,0.07068853825330734,28,0.07068853825330734,0.6736782731813011,,non_bridge,average-linkage on 1-|Spearman rho|,0.85,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,A/CNK,0.08510368317365646,5,0.08510368317365646,0.5026317346868255,,non_bridge,average-linkage on 1-|Spearman rho|,0.85,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,A/NK,0.1315462440252304,1,0.1315462440252304,0.5824840045745857,,non_bridge,average-linkage on 1-|Spearman rho|,0.85,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Al2O3,0.07358580082654953,16,0.07358580082654953,0.7059987655215405,,non_bridge,average-linkage on 1-|Spearman rho|,0.85,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Ba,0.02958909422159195,23,0.02958909422159195,0.8140660040402529,,primary,average-linkage on 1-|Spearman rho|,0.85,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,CaO,0.07090630382299423,29,0.07090630382299423,0.638796423900073,,primary,average-linkage on 1-|Spearman rho|,0.85,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Ce,0.16920620203018188,6,0.39153581857681274,0.9250681933557932,La;Pr;Nd,non_bridge,average-linkage on 1-|Spearman rho|,0.85,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Cr,0.17926359176635742,11,0.17926359176635742,0.7366488337921567,,non_bridge,average-linkage on 1-|Spearman rho|,0.85,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Dy,0.03328368067741394,9,0.4828437361866236,0.9863770606646437,Ho;Tb;Er;Tm;Lu;Y;Gd;Yb,non_bridge,average-linkage on 1-|Spearman rho|,0.85,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Er,0.02690429985523224,9,0.4828437361866236,0.9860259206945019,Ho;Tm;Lu;Dy;Y;Yb;Tb;Gd,non_bridge,average-linkage on 1-|Spearman rho|,0.85,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
