Record ID,Geological Group ID,Reference-connected block,reported_type,true_code,repeat_id,repeat_seed,outer_fold,valid_oof,abstain_reason,raw_P_I,raw_P_A,raw_P_S,calibrated_P_I,calibrated_P_A,calibrated_P_S,temperature,temperature_fitted,analysis_protocol_hash,effective_split_seed,split_seed_offset,SHAP::(La/Yb)N,SHAP::A/CNK,SHAP::A/NK,SHAP::Al2O3,SHAP::Ba,SHAP::CaO,SHAP::Ce,SHAP::Dy,SHAP::Er,SHAP::Eu,SHAP::Eu/Eu*,SHAP::Fe*,SHAP::Fe2O3,SHAP::FeO,SHAP::Ga,SHAP::Gd,SHAP::Hf,SHAP::Ho,SHAP::K2O,SHAP::K2O/Na2O,SHAP::La,SHAP::Lu,SHAP::MgO,SHAP::MnO,SHAP::Na2O,SHAP::Nb,SHAP::Nd,SHAP::P2O5,SHAP::Pr,SHAP::Rb,SHAP::Rb/Sr,SHAP::SiO2,SHAP::Sm,SHAP::Sr,SHAP::Ta,SHAP::Tb,SHAP::TiO2,SHAP::Tm,SHAP::Y,SHAP::Yb,SHAP::Zr,SHAP::Zr/Hf
R0081,GG0045,RCB0034,S,2,1,20269892,1,True,,0.12051361799240112,0.8259407877922058,0.05354565754532814,0.19884576272220322,0.6829414052893871,0.1182128319884096,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.049803764,-0.0072018136,-0.0040889587,-0.006828026,-0.27779546,-0.1454652,0.008721875,0.0013035503,0.042909946,-0.031569112,-0.2149683,-0.01386128,0.061444283,-0.09442556,-0.018284082,-0.006323928,-0.04624275,0.035890494,0.030870456,0.016530283,-0.043454096,0.21326089,-0.23453015,0.10307222,-0.0037284018,0.021212213,-0.022705976,0.06728734,0.05057215,-0.4544744,0.024296425,0.0803713,-0.0064576976,0.06357642,-0.15342419,0.04130876,-0.0037090601,0.055014186,-0.043578036,0.004682455,0.0048287073,0.018652802
R0082,GG0045,RCB0034,S,2,1,20269892,1,True,,0.4029780328273773,0.09458288550376892,0.5024390816688538,0.39265140303445223,0.15505374057117158,0.4522948563943763,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.11420779,-0.023037614,-0.008167753,-0.006828026,-0.23497841,-0.19788682,0.09956165,0.0033207203,0.04437405,0.042225577,-0.13352534,0.018743329,0.057359748,0.214816,-0.005678374,0.004427274,0.019853117,0.031545117,-0.007549272,-0.014916616,-0.054359876,-0.002882327,-0.18356024,0.14470388,-0.0059432834,0.020520268,0.08015367,0.06728734,0.1916075,-0.6155292,0.051264632,0.08701583,0.01911619,0.028184408,-0.09826906,-0.0011707272,-0.0021018926,0.055014186,-0.044880565,0.0041603413,0.0008197352,0.02187452
R0083,GG0045,RCB0034,S,2,1,20269892,1,True,,0.2721373438835144,0.13860011100769043,0.5892625451087952,0.3039710945911163,0.19723639889316694,0.4987925065157168,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.05475968,-0.012404477,-0.0009442922,-0.006828026,-0.27517515,-0.17460157,0.050872587,0.0037362336,0.016854208,0.03954769,-0.19927453,-0.01613276,0.05359543,-0.030872524,0.0076933,0.004427274,0.048918,0.035890494,0.03547543,0.011157168,-0.049768753,0.16488029,-0.16303122,0.065563805,-0.002345536,0.018317653,0.041688282,0.06728734,0.048072815,-0.6449178,0.020671187,0.08605663,0.010545954,0.08427336,-0.15471195,-0.005687047,-0.0037090601,0.055014186,-0.04874845,0.0041603413,0.0008197352,0.020637205
R0084,GG0045,RCB0034,S,2,1,20269892,1,True,,0.22326801717281342,0.069381482899189,0.707350492477417,0.2803427131453413,0.13252568768713918,0.5871315991675196,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.06378072,-0.031948987,-0.09152271,-0.009722374,-0.27170828,0.14247943,0.009752973,0.020533836,0.039905034,0.05773959,-0.24281359,-0.045221183,0.04669352,-0.10860873,-0.002433814,0.020577282,0.041514747,0.036486264,-0.10976146,-0.027824815,-0.020912122,0.25957808,-0.20000555,-0.107851945,0.05782807,0.020527711,-0.021716502,0.08222361,0.02460243,-0.4019578,0.040283047,0.053872436,0.003301674,0.063149504,-0.0145076,-0.004573945,-0.011746442,0.041656468,-0.061039712,0.004682455,-0.023422595,0.036885295
R0085,GG0045,RCB0034,S,2,1,20269892,1,True,,0.2662277817726135,0.2580853998661041,0.47568684816360474,0.2914581152528394,0.2857119097460638,0.4228299750010968,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.113746166,-0.03171026,-0.0009442922,-0.006828026,-0.24594617,-0.17411675,0.050872587,0.0037362336,0.03714719,0.042225577,-0.2549017,-0.07062731,0.02641896,-0.08147755,-0.0017749579,0.004427274,0.04579474,0.036486264,0.03547543,0.0040889243,-0.043454096,0.11265246,-0.16962482,-0.07862302,-0.0074861785,0.021554137,0.033770327,0.06728734,0.05125752,-0.6302075,0.019016715,0.08605663,0.011007026,0.05006562,-0.15664388,-0.005687047,-0.0037090601,0.055014186,-0.04874845,0.0039015822,-0.0013446175,0.020637205
R0086,GG0045,RCB0034,S,2,1,20269892,1,True,,0.20372509956359863,0.5333622097969055,0.2629126310348511,0.24808149176355468,0.4597710014317972,0.2921475068046481,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.044092994,-0.037132528,0.008677599,0.023962205,-0.26161462,-0.14498037,0.014283085,0.0013035503,0.07351207,-0.020624358,-0.24955301,-0.041054823,-0.010755127,-0.12108738,-0.018284082,-0.006323928,-0.01043529,0.036486264,0.03196652,0.01314168,-0.037388552,0.21268642,0.06122978,-0.112168945,-0.0074861785,0.022635149,-0.03616316,0.10477632,0.05435203,-0.61594886,0.016224504,0.018659335,0.0004092413,0.053179815,-0.20705046,0.10737459,-0.0037090601,0.055014186,-0.038976945,0.0048772846,-0.003268918,0.0219809
R0087,GG0045,RCB0034,S,2,1,20269892,1,True,,0.3429199755191803,0.2966361343860626,0.3604438304901123,0.3397077211524836,0.3095557821053488,0.3507364967421677,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.11543797,-0.0086500775,-0.0009442922,-0.009722374,-0.25504842,-0.15702854,0.050872587,0.0013035503,0.042909946,0.042225577,-0.20585337,-0.012293614,0.056085758,-0.123544045,-0.013503229,-0.006323928,0.048918,0.035890494,0.03547543,0.015635412,-0.036987007,0.18587446,-0.18613422,0.065563805,0.059378937,0.01712046,0.03526759,0.06728734,0.05125752,-0.6219017,0.021437582,0.08701583,-0.004641363,0.07649874,-0.15264885,0.09864177,-0.0037090601,0.055014186,-0.04874845,0.0037126346,-0.0013446175,0.021197533
R0088,GG0045,RCB0034,S,2,1,20269892,1,True,,0.3799845576286316,0.10660510510206223,0.5134103298187256,0.37657341671297173,0.16672255093234709,0.4567040323546812,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.058766913,-0.011923052,-0.031242102,0.023962205,-0.24423751,0.065848134,0.056061804,0.020533836,0.03714719,0.042225577,-0.22583367,-0.13661268,0.10144395,-0.123544045,-0.016095528,0.020577282,0.04579474,0.036486264,0.03547543,0.016530283,-0.020121345,0.24760437,-0.18889207,0.020683713,0.059378937,0.01931649,0.033770327,0.08006509,0.027027415,-0.52515084,0.044637356,0.084694415,0.011007026,0.05654809,-0.025453445,-0.003114278,-0.004137394,0.055014186,-0.04874845,0.0039015822,-0.010269862,0.034340564
R0089,GG0045,RCB0034,S,2,1,20269892,1,True,,0.4475266933441162,0.06547876447439194,0.48699450492858887,0.4260124803054682,0.12425699477190122,0.44973052492263055,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.11884618,0.0133047495,-0.080979854,-0.006828026,-0.27393696,0.18484253,0.056061804,0.020533836,0.03623173,0.023461074,-0.24748844,-0.042959116,0.041334998,-0.037900545,-0.0028834515,0.020577282,0.04579474,0.036486264,0.030917704,0.043788247,-0.03290309,0.10475311,-0.18158372,-0.082381755,-0.010415881,0.023123842,0.036692813,0.08006509,0.033098154,-0.489667,0.04083339,0.07029989,0.011145443,0.07700248,0.13262622,-0.005687047,-0.011746442,-0.021684162,-0.04874845,0.0042354832,-0.008105507,0.038851622
R0090,GG0045,RCB0034,S,2,1,20269892,1,True,,0.2330927699804306,0.5001400709152222,0.2667672038078308,0.26869310716770045,0.4383358140718371,0.29297107876046247,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.05352951,-0.023541296,-0.042225905,-0.006828026,-0.2674613,-0.19788682,0.05065094,0.0037362336,-0.019586375,0.03954769,-0.20294258,0.04174601,0.07571267,0.08210628,0.0075370856,0.004427274,-0.039025746,0.035890494,0.026312731,0.016530283,-0.06990735,-0.07068621,-0.14172952,0.13270344,-0.00049548503,0.023559347,0.042897396,0.06728734,0.19532648,-0.5132543,0.019942114,0.087734304,0.01123992,0.09241905,-0.057423253,-0.003114278,-0.0021018926,-0.021684162,-0.03971015,0.0041603413,0.006993061,0.020637205
R0091,GG0045,RCB0034,S,2,1,20269892,1,True,,0.2879565358161926,0.326533704996109,0.3855096995830536,0.3039883922335184,0.32950299038639475,0.3665086173800869,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.06378072,-0.014174009,-0.065986924,-0.006828026,-0.27754384,0.15009108,0.013305645,0.020533836,0.013496924,0.023461074,-0.25086078,-0.13888417,0.043334346,-0.09476112,-0.005730864,0.020577282,-0.01043529,0.036486264,0.026312731,0.0056286184,-0.026588438,0.104270674,-0.19815446,0.023918904,-0.0065208664,0.02372107,-0.021456786,0.08006509,0.03132376,-0.48291415,0.041758794,0.07029989,-0.009150956,0.072991125,0.13055396,-0.005687047,-0.011746442,-0.021684162,-0.043578036,0.0051701856,-0.0019321837,0.038851622
R0173,GG0035,RCB0028,S,2,1,20269892,1,True,,0.14588294923305511,0.01745900698006153,0.8366580605506897,0.23146631901005552,0.059353123274094415,0.7091805577158501,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.1263218,0.060931902,-0.14125219,0.013939574,-0.08037219,0.04304974,-0.014803547,-0.01906225,-0.063668,-0.019358825,0.00036420114,0.072510734,-0.0060697505,0.009852415,0.0051718946,0.008694693,-0.040368892,-0.069712184,0.019741483,0.0042805593,-0.016099619,-0.092882685,0.039103046,-0.077286184,0.024590956,0.028449457,-0.026219718,-0.03055833,0.026281284,0.21921733,-0.034887634,-0.055397805,-0.002775861,-0.06262782,0.097940154,-0.012342315,0.00832312,-0.02281985,-0.043816686,-0.06570054,0.004872243,0.064973064
R0174,GG0035,RCB0028,S,2,1,20269892,1,True,,0.16418252885341644,0.018012991175055504,0.8178044557571411,0.24742359442192893,0.06000578136791333,0.6925706242101577,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.13978042,-0.035214502,0.07889819,0.0100632645,-0.05833239,0.04304974,-0.024764907,-0.01906225,-0.016247386,-0.019358825,-0.03202814,0.07103792,-0.0060697505,-0.090540186,0.0051718946,0.008694693,-0.00670214,-0.035841975,0.023361228,0.0042805593,-0.013819364,-0.0755343,0.05220196,-0.088390715,0.01299081,0.02845946,-0.09030752,-0.01548625,-0.025992896,0.1950121,-0.048100397,-0.05824363,0.011808345,-0.059778914,0.15555969,-0.012342315,0.00832312,-0.02281985,-0.058518212,0.012014665,0.004872243,0.082820214
R0175,GG0035,RCB0028,S,2,1,20269892,1,True,,0.22280186414718628,0.06869115680456161,0.7085070013999939,0.280137385444427,0.1317588524484044,0.5881037621071686,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.097702086,-0.040025532,0.13041626,0.015196812,-0.3264979,0.05012668,-0.07893194,-0.01906225,-0.01137512,-0.02026781,-0.042370528,0.066071905,0.009608938,-0.09934783,0.0523079,0.008694693,-0.02923812,-0.025672548,-0.062225956,0.04458685,0.021671489,-0.06320437,0.03926049,-0.08374522,-0.004044896,0.02845946,-0.04339894,-0.015191376,-0.032110944,0.1993679,-0.09235362,-0.09673168,0.014861429,-0.0572503,0.21675947,-0.016404774,0.00832312,-0.01332696,-0.056636814,0.02238682,-0.027992109,0.09792252
R0176,GG0035,RCB0028,S,2,1,20269892,1,True,,0.11223439127206802,0.00984962098300457,0.8779160380363464,0.20208270256913086,0.042473778165914966,0.7554435192649542,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.11923731,-0.075214915,-0.16913551,0.018802477,-0.08444219,0.057928715,-0.014803547,-0.01906225,-0.06414522,-0.019358825,-0.0040402957,0.07057588,0.05714552,0.009852415,0.0051718946,0.008694693,-0.006468946,-0.069712184,0.019741483,0.0042805593,-0.016099619,-0.09104902,0.035861395,-0.088390715,0.023939079,0.041814856,-0.026219718,-0.03055833,0.009615481,0.19783919,-0.03651991,-0.08495799,-0.0036312807,-0.09206878,0.19784905,-0.012342315,0.0047581075,-0.02281985,-0.05341148,-0.043249674,0.004872243,0.09537779
R0177,GG0035,RCB0028,S,2,1,20269892,1,True,,0.13005928695201874,0.006339480634778738,0.8636012673377991,0.2217423010053827,0.03196881653837291,0.7462888824562445,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.05297175,-0.06645821,-0.22508812,0.026856553,-0.36884478,0.043173186,0.021958176,-0.021267302,-0.0028019943,-0.03376503,-0.25499403,0.04068101,0.08889149,-0.030831754,0.009451419,0.008694693,0.04158499,-0.031615667,0.027149104,-0.001211687,-0.024088819,-0.10005863,0.031936154,-0.09744736,-0.020314822,0.043901235,0.036515284,0.005540773,0.018059157,0.06124898,0.057964314,0.037039924,0.042508736,-0.043566782,0.15324903,-0.016404774,-0.004137394,-0.021684162,-0.067534134,0.0061578313,0.035617664,0.04790014
R0178,GG0035,RCB0028,S,2,1,20269892,1,True,,0.1956254243850708,0.015877075493335724,0.7884975075721741,0.2744399065569627,0.054862578345968104,0.6706975150970692,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.014136061,-0.07596844,0.047401518,0.012612274,-0.31490687,0.06353301,0.0011538705,-0.01906225,-0.0028019943,-0.017589923,0.012622345,0.04068101,0.024693504,-0.024796689,-0.0059434236,0.008694693,-0.0010304395,-0.026667483,0.01150662,0.04916136,-0.023604874,-0.058875725,0.039188135,-0.08159624,0.00635631,0.04285708,-0.045902774,-0.018088829,0.024700368,0.04023365,0.09713289,-0.07552233,0.0011245459,-0.062332757,0.2216085,-0.016404774,0.02734925,-0.021684162,-0.06975865,-0.00316241,0.004872243,0.071715996
R0179,GG0035,RCB0028,S,2,1,20269892,1,True,,0.1010618582367897,0.010789604857563972,0.8881484866142273,0.18988508566730417,0.04525351578340952,0.7648613985492863,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.0031758687,-0.06498198,-0.20102684,0.023962205,-0.33419907,0.05627024,0.011115231,-0.01906225,-0.0028019943,-0.02026781,0.011039164,0.052135836,0.08889149,-0.024796689,0.008362975,0.008694693,-0.0047952477,-0.04112656,0.0078868745,0.0042805593,-0.02588513,-0.0761466,0.03528807,-0.088390715,0.027109383,0.02479398,-0.030897694,-0.033160906,0.009155376,0.032801952,0.05403147,0.0087912455,-0.003891876,-0.045323346,0.17172423,-0.016404774,-0.004137394,-0.021684162,-0.07721138,-0.0052639814,0.004872243,0.071715996
R0280,GG0053,RCB0039,A,1,1,20269892,1,True,,0.598159670829773,0.048953790217638016,0.35288652777671814,0.5224752246933159,0.10500689777914882,0.3725178775275353,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.18524368,-0.042429935,0.14723921,0.015568465,0.09197078,0.054657415,-0.07153112,0.0043695825,0.004271363,-0.009791963,-0.03553501,0.035320617,-0.032691646,-0.080747485,-0.041110717,0.0053904825,-0.073606715,0.03825411,0.01150662,0.005735039,-0.017736623,-0.06320437,0.032154307,0.12977156,0.039587602,0.06306158,-0.032196738,-0.018088829,-0.050878383,0.29744974,-0.079307556,0.016005602,-0.00604091,-0.049397394,0.18955442,-0.012342315,0.02734925,-0.019533461,0.015331501,0.033318054,-0.017914714,-0.0787501
R0281,GG0053,RCB0039,A,1,1,20269892,1,True,,0.39114516973495483,0.1518733948469162,0.45698148012161255,0.3773377767885256,0.20575401255303088,0.4169082106584437,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.14218426,-0.04234841,0.11791467,0.0135012595,0.018643156,0.044743825,-0.07153112,-0.0032990891,0.009320716,0.0022786437,0.029580526,0.008174164,-0.004556314,-0.11730991,0.16301416,0.0016525891,-0.053314805,0.025401164,0.01150662,0.005735039,0.061281674,-0.06329778,0.038790163,0.11018265,0.029180197,0.025842614,-0.058630347,-0.0007951569,-0.26571152,0.3000695,-0.08870405,-0.081418216,0.0019011507,-0.054196857,0.105144136,-0.012342315,0.00832312,-0.019533461,0.0048324764,0.033318054,-0.017914714,-0.02589954
R0282,GG0053,RCB0039,A,1,1,20269892,1,True,,0.4891977906227112,0.03198029100894928,0.47882193326950073,0.46288309575646713,0.08055171242836051,0.4565651918151723,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.10148786,-0.041643266,0.08118781,0.012686801,0.46468726,0.04213443,-0.059132118,-0.003953607,0.010311161,0.0070201694,0.10335261,0.027743682,-0.03460021,-0.14083204,0.04300436,0.0016525891,0.03620658,-0.032883182,0.011395782,0.020763349,0.06407314,-0.06322325,0.026495425,0.11180853,0.043319397,0.037298553,-0.076557934,-0.0004947847,-0.29710174,0.29535118,-0.10858012,-0.07153225,-0.07516462,-0.055886082,0.045492195,-0.012342315,0.00832312,-0.019533461,-0.05249148,-0.021691011,-0.01200757,-0.0035591815
R0283,GG0053,RCB0039,A,1,1,20269892,1,True,,0.4638233482837677,0.2027755081653595,0.3334011137485504,0.4170819379830107,0.2453952149808802,0.3375228470361092,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.10032714,-0.036898952,-0.037367012,0.012686801,0.56629074,0.03467268,-0.061569754,-0.005784627,0.0045203157,-0.004018717,-0.018754093,0.035023067,-0.026138619,-0.13664764,-0.06568917,0.0031004143,-0.08359304,0.031774096,0.015362226,5.2011572e-05,0.04723386,-0.07164234,0.041249827,0.11180853,0.029180197,0.020092651,-0.016507562,0.014040718,-0.25911695,0.22319323,-0.07684145,-0.081418216,-0.057842214,-0.04120056,0.07386279,-0.009846871,-0.0035747616,-0.02281985,0.008452626,0.018400967,-0.01200757,-0.039786194
R0284,GG0053,RCB0039,A,1,1,20269892,1,True,,0.11874394863843918,0.552726686000824,0.32852935791015625,0.17856325377380164,0.47857815743366583,0.34285858879253256,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.055418413,-0.04415899,0.061134018,-0.018868031,0.010815024,0.11520582,-0.048974697,0.0047419425,0.004271363,-0.021099132,-0.07869469,0.005193956,-0.045399334,-0.12102673,-0.064688146,0.0053904825,-0.06791416,0.0030407645,-0.0043299096,-0.0012199096,0.113483526,-0.072633184,0.02609106,-0.06645993,0.056393497,0.030130973,-0.020498257,-0.020533819,-0.21921197,-0.35030466,-0.036223687,-0.053999346,-0.030707067,-0.062004954,-0.091092065,-0.0051815556,0.02734925,-0.019533461,-0.017018387,0.024001604,-0.021080885,-0.07130698
R0285,GG0053,RCB0039,A,1,1,20269892,1,True,,0.3217630684375763,0.5452722907066345,0.13296464085578918,0.3367196683302679,0.47219335739337087,0.19108697427636134,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.032203443,-0.036291078,0.07573462,0.015024654,0.34264717,0.068180956,-0.09182863,0.00023567083,0.011895752,-0.004018717,-0.044314027,0.0075208656,-0.031072833,-0.12951684,-0.04660593,-0.0034447995,-0.05459557,0.034260217,-0.08596304,0.028000485,0.06664232,-0.07210472,0.032367166,-0.06051306,0.0021955268,0.054325126,-0.11642146,-0.015251262,-0.2974206,0.26758346,0.0033928119,-0.082557365,-0.09390049,-0.052851014,0.17050502,-0.0078067174,0.02734925,-0.01332696,-0.021870863,0.02014868,-0.027992109,-0.04658673
R0637,GG0035,RCB0028,S,2,1,20269892,1,True,,0.061639461666345596,0.004805962089449167,0.9335545897483826,0.14482879771028842,0.0282172248777568,0.8269539774119548,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.043579686,-0.03171188,-0.22754984,0.015506622,-0.29363605,0.00947683,0.070873395,-0.006522058,-0.023227256,0.03210276,-0.20925029,0.005964149,0.14563301,-0.030456163,-0.015462592,0.0031004143,0.024333151,-0.02254528,0.027149104,0.008783809,-0.028196644,-0.10566864,0.019048832,-0.009558778,0.06328528,0.031651884,0.056555085,-0.045008577,0.17879814,-0.60782516,0.052144058,-0.09907061,0.02531968,0.058707558,0.11254244,-0.018977545,-0.004137394,-0.021684162,0.10916996,-0.0075533087,0.0064265486,-0.05854189
R0638,GG0035,RCB0028,S,2,1,20269892,1,True,,0.10344920307397842,0.03733585402369499,0.8592149019241333,0.18500920970799553,0.09626339635112693,0.7187273939408776,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.045699317,-0.0464593,0.070897356,0.026856553,-0.25120625,-0.028345793,0.06889695,-0.005718154,-0.032729637,0.042225577,-0.18693928,0.008677781,0.029368412,0.2891759,-0.0142074395,0.0026247615,-0.0030822353,-0.008086203,0.040802695,0.0043413145,-0.05599606,-0.07999449,0.021778323,-0.14358969,0.013438622,0.030002793,0.040001154,-0.016968913,0.20564541,-0.63692,0.0301659,0.096041985,0.030728325,0.07884727,-0.10487696,-0.018977545,-0.0037090601,-0.01428393,-0.032767687,0.0031771334,0.0008197352,0.024461748
R0639,GG0035,RCB0028,S,2,1,20269892,1,True,,0.10166432708501816,0.029914380982518196,0.8684212565422058,0.18478108326431394,0.0843473921865064,0.7308715245491796,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.10729975,-0.03430684,0.032119952,0.026856553,-0.2690377,-0.13872297,0.08323395,-0.008276017,-0.045524396,0.042225577,-0.1354204,0.005636934,0.030690616,0.21521898,-0.013832128,0.0026247613,-0.0034936098,-0.018356921,-0.093614444,-0.027088836,-0.07057515,-0.0941212,0.026544895,-0.010945216,0.048709027,-0.035302226,0.05094714,-0.03102377,0.18352836,-0.60516524,0.05283503,0.08264733,0.023318186,0.06869222,0.19607544,-0.013779613,-0.0037090601,-0.015477661,-0.026079565,-0.000606128,-0.022688476,0.04377159
R0640,GG0035,RCB0028,S,2,1,20269892,1,False,row_missingness_at_or_above_threshold,,,,,,,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0641,GG0035,RCB0028,S,2,1,20269892,1,True,,0.309454083442688,0.5947472453117371,0.09579867124557495,0.33425360753223404,0.5081208035925671,0.15762558887519887,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.09734939,-0.028817348,-0.05160618,0.015229682,-0.23128234,-0.12608647,0.09600897,0.00088803703,0.06381905,-0.015493644,0.2044642,-0.013191923,0.021332784,0.14517318,-0.032047737,-0.006323928,-0.07829407,0.010511316,-0.007707854,0.014387745,0.17214304,0.31189167,-0.1206481,-0.05628094,0.016449843,0.035674185,0.045183647,-0.016874501,-0.18246832,-0.43757004,0.04972784,-0.10839288,0.01766825,-0.042010523,-0.18629198,0.0937355,-0.0018394127,0.058342785,0.14560752,0.00430029,0.0033644177,0.046108656
R0642,GG0035,RCB0028,S,2,1,20269892,1,True,,0.32650965452194214,0.5741088390350342,0.0993814691901207,0.34454536286479975,0.4947298807524619,0.1607247563827384,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.09734939,-0.028817348,-0.05619323,0.026579615,-0.21537058,-0.12608647,0.09600897,0.00088803703,0.06381905,-0.015493644,0.21101391,-0.017016027,0.021332784,0.1420475,-0.032047737,-0.006323928,-0.056684744,0.010511316,-0.007707854,-0.04484313,0.14020628,0.31189167,-0.1206481,-0.05628094,0.016449843,0.035674185,0.05173334,-0.016874501,-0.18246832,-0.43213534,0.045227647,0.016604047,0.01766825,-0.042010523,-0.18629198,0.06052022,-0.0018394127,0.058342785,0.16841014,0.00430029,0.0033644177,0.046108656
R0643,GG0035,RCB0028,S,2,1,20269892,1,False,row_missingness_at_or_above_threshold,,,,,,,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0644,GG0035,RCB0028,S,2,1,20269892,1,True,,0.4841998815536499,0.21877223253250122,0.2970278263092041,0.42882149265019426,0.2576862956694967,0.313492211680309,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.09468666,-0.032098204,-0.07038631,0.015506622,-0.2468362,-0.16314706,0.09600897,0.0033207203,0.061287027,-0.015493644,0.20895168,-0.01567923,0.023473639,0.10370251,-0.030799927,0.004427274,0.013917093,0.014883183,-0.0064573763,-0.04484313,-0.05212292,0.30810645,-0.157621,-0.05628094,0.015359281,0.033584993,0.05134478,-0.01857504,0.16572505,-0.5223598,0.04972784,-0.112464234,0.01785298,-0.06374556,-0.18716526,0.06052022,-0.0018394127,0.058342785,0.19194704,0.00430029,0.0033644177,0.04809306
R0645,GG0035,RCB0028,S,2,1,20269892,1,True,,0.27701273560523987,0.603014349937439,0.11997292935848236,0.3094683008796993,0.5095453683469483,0.18098633077335233,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.09468666,-0.030221768,-0.05692345,0.022980243,-0.21393941,-0.14557405,0.09600897,0.00088803703,0.06381905,-0.015493644,0.21101391,-0.017016027,0.023473639,0.10576474,-0.031013602,-0.006323928,-0.03611847,0.015569761,-0.0064573763,-0.04484313,-0.014157374,0.31332392,-0.15174192,-0.05628094,0.016449843,0.035674185,0.05173334,-0.01857504,-0.039743662,-0.52615064,0.045227647,0.016604047,0.017561989,-0.06038613,-0.22499318,0.06052022,-0.0018394127,0.058342785,0.16999018,0.00430029,0.0033644177,0.046108656
